Component,Weight %,Ticker,Sedol
"APPLE INC",1.34,AAPL UW Equity,2046251
"BERKSHIRE HATHAWAY INC-CL B",1.09,BRK/B UN Equity,2073390
"EXXON MOBIL CORP",1.01,XOM UN Equity,2326618
"TOYOTA MOTOR CORP",0.99,7203 JT Equity,6900643
"ROYAL DUTCH SHELL PLC",0.92,RDSB LN Equity,B03MM40
"AT&T",0.67,T UN Equity,2831811
"CITIGROUP INC",0.65,C UN Equity,2297907
"ALLIANZ SE",0.62,ALV GY Equity,5231485
"WELLS FARGO & CO",0.6,WFC UN Equity,2649100
"MICROSOFT CORP",0.59,MSFT UW Equity,2588173
"HSBC HOLDINGS PLC",0.59,HSBA LN Equity,0540528
"BANCO SANTANDER SA",0.56,SAN SQ Equity,5705946
"VERIZON COMMUNICATIONS INC",0.55,VZ UN Equity,2090571
"TOTAL SA",0.55,FP FP Equity,B15C557
"JOHNSON & JOHNSON",0.52,JNJ UN Equity,2475833
"NIPPON TELEGRAPH & TELEPHONE ORD",0.5,9432 JT Equity,6641373
"NESTLE SA-REG",0.49,NESN VX Equity,7123870
"ALPHABET INC A-SHARES",0.49,GOOGL UW Equity,BYVY8G0
"INTEL CORP",0.47,INTC UW Equity,2463247
"PROCTER & GAMBLE CO",0.45,PG UN Equity,2704407
"INTL BUSINESS MACHINES CORP",0.44,IBM UN Equity,2005973
"DOWDUPONT INC",0.43,DWDP UN Equity,BYP66M4
"GILEAD SCIENCES INC",0.41,GILD UW Equity,2369174
"ORACLE CORP",0.4,ORCL UN Equity,2661568
"GENERAL ELECTRIC CO",0.4,GE UN Equity,2380498
"CISCO SYSTEMS INC",0.4,CSCO UW Equity,2198163
"BNP PARIBAS SA",0.4,BNP FP Equity,7309681
"AXA SA",0.39,CS FP Equity,7088429
"NOVARTIS AG",0.37,NOVN VX Equity,7103065
"CVS HEALTH CORP",0.37,CVS UN Equity,2577609
"HONDA MOTOR",0.36,7267 JT Equity,6435145
"VODAFONE GROUP PLC",0.35,VOD LN Equity,BH4HKS3
"DAIMLER",0.35,DAI GY Equity,5529027
"ZURICH INSURANCE GROUP AG",0.33,ZURN VX Equity,5983816
"ROCHE HOLDING AG",0.32,ROG VX Equity,7110388
"FORD MOTOR CO",0.32,F UN Equity,2615468
"WALT DISNEY CO/THE",0.31,DIS UN Equity,2270726
"CREDIT AGRICOLE SA",0.31,ACA FP Equity,7262610
"BASF",0.31,BAS GY Equity,5086577
"ASSICURAZIONI GENERALI SPA",0.31,G IM Equity,4056719
